Terminal,Capacidad,Unidad,Movil
1. Bogota,81,MT3,1123
1. Bogota,81,MT3,1141
1. Bogota,81,MT3,1142
1. Bogota,5,MT3,1363
1. Bogota,5,MT3,1364
1. Bogota,5,MT3,1365
1. Bogota,5,MT3,1366
1. Bogota,5,MT3,1367
1. Bogota,5,MT3,1368
1. Bogota,5,MT3,1369
1. Bogota,5,MT3,1370
1. Bogota,4,MT3,1799
1. Bogota,23,MT3,1817
1. Bogota,23,MT3,1818
1. Bogota,23,MT3,1819
1. Bogota,23,MT3,1820
1. Bogota,23,MT3,1822
1. Bogota,23,MT3,1823
1. Bogota,23,MT3,1827
1. Bogota,23,MT3,1829
1. Bogota,23,MT3,1831
1. Bogota,23,MT3,1832
1. Bogota,23,MT3,1836
1. Bogota,23,MT3,1837
1. Bogota,23,MT3,1843
1. Bogota,23,MT3,1845
1. Bogota,23,MT3,1849
1. Bogota,23,MT3,1852
1. Bogota,23,MT3,1856
1. Bogota,23,MT3,1857
1. Bogota,23,MT3,1860
1. Bogota,23,MT3,1863
1. Bogota,23,MT3,1865
1. Bogota,23,MT3,1868
1. Bogota,23,MT3,1870
1. Bogota,23,MT3,1871
1. Bogota,23,MT3,1873
1. Bogota,23,MT3,1875
1. Bogota,23,MT3,1876
1. Bogota,23,MT3,1879
1. Bogota,23,MT3,1892
1. Bogota,23,MT3,1893
1. Bogota,23,MT3,1894
1. Bogota,23,MT3,1895
1. Bogota,14,MT3,1900
1. Bogota,81,MT3,2000
1. Bogota,23,MT3,2126
1. Bogota,23,MT3,2127
1. Bogota,23,MT3,2128
1. Bogota,23,MT3,2129
1. Bogota,23,MT3,2130
1. Bogota,23,MT3,2131
1. Bogota,23,MT3,2133
1. Bogota,23,MT3,2135
1. Bogota,23,MT3,2140
1. Bogota,23,MT3,2141
1. Bogota,23,MT3,2143
1. Bogota,23,MT3,2148
1. Bogota,23,MT3,2150
1. Bogota,23,MT3,2155
1. Bogota,23,MT3,2156
1. Bogota,23,MT3,2157
1. Bogota,23,MT3,2162
1. Bogota,23,MT3,2163
1. Bogota,23,MT3,2164
1. Bogota,23,MT3,2167
1. Bogota,23,MT3,2168
1. Bogota,23,MT3,2169
1. Bogota,23,MT3,2170
1. Bogota,23,MT3,2171
1. Bogota,23,MT3,2173
1. Bogota,23,MT3,2176
1. Bogota,23,MT3,2177
1. Bogota,23,MT3,2178
1. Bogota,23,MT3,2180
1. Bogota,23,MT3,2182
1. Bogota,23,MT3,2185
1. Bogota,23,MT3,2192
1. Bogota,27,MT3,2199
1. Bogota,27,MT3,2203
1. Bogota,27,MT3,2205
1. Bogota,27,MT3,2207
1. Bogota,3,MT3,2210
1. Bogota,3,MT3,2212
1. Bogota,3,MT3,2213
1. Bogota,3,MT3,2215
1. Bogota,23,MT3,2274
1. Bogota,23,MT3,2285
1. Bogota,39,MT3,2325
1. Bogota,39,MT3,2326
1. Bogota,39,MT3,2327
1. Bogota,14,MT3,2356
1. Bogota,14,MT3,2357
1. Bogota,14,MT3,2361
1. Bogota,14,MT3,2365
1. Bogota,36,MT3,2368
1. Bogota,36,MT3,2405
1. Bogota,36,MT3,2410
1. Bogota,36,MT3,2415
1. Bogota,41,MT3,2439
1. Bogota,41,MT3,2440
1. Bogota,41,MT3,2443
1. Bogota,41,MT3,2444
1. Bogota,41,MT3,2445
1. Bogota,41,MT3,2446
1. Bogota,36,MT3,2465
1. Bogota,4,MT3,2475
1. Bogota,4,MT3,2476
1. Bogota,4,MT3,2477
1. Bogota,4,MT3,2478
1. Bogota,4,MT3,2487
1. Bogota,4,MT3,2488
1. Bogota,4,MT3,2489
1. Bogota,23,MT3,2495
1. Bogota,23,MT3,2496
1. Bogota,16,MT3,2514
1. Bogota,16,MT3,2517
1. Bogota,16,MT3,2518
1. Bogota,16,MT3,2519
1. Bogota,16,MT3,2520
1. Bogota,16,MT3,2522
1. Bogota,16,MT3,2524
1. Bogota,16,MT3,2525
1. Bogota,16,MT3,2526
1. Bogota,16,MT3,2527
1. Bogota,16,MT3,2528
1. Bogota,16,MT3,2529
1. Bogota,16,MT3,2530
1. Bogota,16,MT3,2532
1. Bogota,16,MT3,2533
1. Bogota,16,MT3,2534
1. Bogota,16,MT3,2535
1. Bogota,16,MT3,2536
1. Bogota,16,MT3,2537
1. Bogota,16,MT3,2538
1. Bogota,16,MT3,2539
1. Bogota,16,MT3,2540
1. Bogota,16,MT3,2542
1. Bogota,16,MT3,2543
1. Bogota,16,MT3,2544
1. Bogota,16,MT3,2545
1. Bogota,16,MT3,2546
1. Bogota,16,MT3,2548
1. Bogota,16,MT3,2549
1. Bogota,16,MT3,2552
1. Bogota,16,MT3,2553
1. Bogota,16,MT3,2554
1. Bogota,16,MT3,2555
1. Bogota,16,MT3,2557
1. Bogota,16,MT3,2558
1. Bogota,16,MT3,2559
1. Bogota,16,MT3,2560
1. Bogota,16,MT3,2562
1. Bogota,41,MT3,2563
1. Bogota,41,MT3,2565
1. Bogota,41,MT3,2566
1. Bogota,41,MT3,2567
1. Bogota,41,MT3,2569
1. Bogota,41,MT3,2574
1. Bogota,41,MT3,2575
1. Bogota,41,MT3,2576
1. Bogota,41,MT3,2577
1. Bogota,41,MT3,2584
1. Bogota,41,MT3,2585
1. Bogota,41,MT3,2586
1. Bogota,41,MT3,2587
1. Bogota,41,MT3,2588
1. Bogota,16,MT3,2589
1. Bogota,41,MT3,2590
1. Bogota,41,MT3,2593
1. Bogota,41,MT3,2594
1. Bogota,41,MT3,2595
1. Bogota,41,MT3,2596
1. Bogota,16,MT3,2597
1. Bogota,16,MT3,2598
1. Bogota,16,MT3,2599
1. Bogota,16,MT3,2600
1. Bogota,16,MT3,2603
1. Bogota,16,MT3,2604
1. Bogota,16,MT3,2605
1. Bogota,42,MT3,2608
1. Bogota,42,MT3,2609
1. Bogota,42,MT3,2610
1. Bogota,42,MT3,2613
1. Bogota,42,MT3,2614
1. Bogota,42,MT3,2615
1. Bogota,42,MT3,2616
1. Bogota,42,MT3,2617
1. Bogota,42,MT3,2618
1. Bogota,42,MT3,2619
1. Bogota,14,MT3,2620
1. Bogota,14,MT3,2622
1. Bogota,14,MT3,2624
1. Bogota,14,MT3,2625
1. Bogota,14,MTS,2626
1. Bogota,14,MT3,2627
1. Bogota,14,MT3,2629
1. Bogota,14,MT3,2630
1. Bogota,42,MT3,2631
1. Bogota,10,MT3,2644
1. Bogota,10,MT3,2645
1. Bogota,10,MT3,2646
1. Bogota,24,MT3,2648
1. Bogota,24,MT3,2652
1. Bogota,24,MT3,2653
1. Bogota,24,MT3,2654
1. Bogota,24,MT3,2655
1. Bogota,41,MT3,2670
1. Bogota,24,MT3,2684
1. Bogota,24,MT3,2686
1. Bogota,24,MT3,2687
1. Bogota,24,MT3,2688
1. Bogota,24,MT3,2689
1. Bogota,24,MT3,2690
1. Bogota,81,MT3,271
1. Bogota,24,MT3,2731
1. Bogota,24,MT3,2732
1. Bogota,24,MT3,2733
1. Bogota,24,MT3,2735
1. Bogota,24,MT3,2736
1. Bogota,24,MT3,2737
1. Bogota,81,MT3,2837
1. Bogota,8.9,MT3,2869
1. Bogota,8.9,MT3,2870
1. Bogota,8.9,MT3,2871
1. Bogota,8.9,MT3,2872
1. Bogota,8.9,MT3,2873
1. Bogota,8.9,MT3,2874
1. Bogota,8.9,MT3,3230
1. Bogota,8.9,MT3,3232
1. Bogota,8.9,MT3,3233
1. Bogota,8.9,MT3,3237
1. Bogota,8.9,MT3,3239
1. Bogota,12.30,MT3,3285
1. Bogota,12.30,MT3,3286
1. Bogota,12.30,MT3,3287
1. Bogota,12.30,MT3,3288
1. Bogota,12.30,MT3,3289
1. Bogota,12.30,MT3,3290
1. Bogota,12.30,MT3,3291
1. Bogota,12.30,MT3,3292
1. Bogota,12.30,MT3,3293
1. Bogota,12.30,MT3,3294
1. Bogota,12.30,MT3,3295
1. Bogota,12.30,MT3,3296
1. Bogota,12.30,MT3,3297
1. Bogota,12.30,MT3,3298
1. Bogota,12.30,MT3,3299
1. Bogota,12.30,MT3,3300
